Metadata Line 1: Report generated by System
Metadata Line 2: Date: 2026-03-28
Metadata Line 3: Location: BANAFI Resort
Metadata Line 4: Exported by: Admin
Metadata Line 5: 
Metadata Line 6: 
Metadata Line 7: 
Metadata Line 8: 
Metadata Line 9: 
Metadata Line 10: 
UsageDateTime,Col1,Col2,Col3,Col4,Col5,Col6,Col7,AccessPointName,Col9,Col10,Col11,Col12,ProductName
3/28/2026 07:15:00,,,,,,,,Gate 1-FaceID,,,,,Vé Người Lớn
3/28/2026 07:45:00,,,,,,,,Gate 1-FaceID,,,,,Vé Trẻ Em
3/28/2026 08:30:00,,,,,,,,Gate 5-QR,,,,,Vé VIP
3/28/2026 08:45:00,,,,,,,,Gate 9-FaceID,,,,,Vé Người Lớn
3/28/2026 09:10:00,,,,,,,,Gate 1-FaceID,,,,,Vé Người Lớn
3/28/2026 09:20:00,,,,,,,,Gate 5-QR,,,,,Vé Trẻ Em
3/28/2026 12:37:00,,,,,,,,Gate9-FaceID-Lan 7,,,,,NL-VÉ CB CÁP&BUFFET TRƯA 4SEASONS SWH
3/28/2026 12:45:00,,,,,,,,Gate9-FaceID-Lan 7,,,,,TE-VÉ CB CÁP&BUFFET TRƯA 4SEASONS SWH
3/28/2026 13:15:00,,,,,,,,Gate 15-Card,,,,,Vé Khách Đoàn
3/28/2026 13:20:00,,,,,,,,Gate 15-Card,,,,,Vé Khách Đoàn
3/28/2026 14:05:00,,,,,,,,Gate 1-FaceID,,,,,Vé Người Lớn
3/28/2026 14:30:00,,,,,,,,Gate 9-FaceID,,,,,NL-VÉ CB CÁP&BUFFET TRƯA 4SEASONS SWH
3/28/2026 15:10:00,,,,,,,,Gate 5-QR,,,,,Vé VIP
3/28/2026 16:45:00,,,,,,,,Gate 19-VIP,,,,,Vé VIP
3/28/2026 17:20:00,,,,,,,,Gate 1-FaceID,,,,,Vé Trẻ Em
3/28/2026 18:05:00,,,,,,,,Gate9-FaceID-Lan 7,,,,,NL-VÉ CB CÁP&BUFFET TRƯA 4SEASONS SWH
